City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Sinnamary,GF,5.3833,-52.95,78.26,86,98,6.6,overcast clouds
155,Phatthalung,TH,7.5,100.0833,84.22,70,98,3.78,overcast clouds
156,Qandala,SO,11.472,49.8728,86.99,55,39,8.41,scattered clouds
157,Genhe,CN,50.7833,121.5167,77.32,51,34,4.7,scattered clouds
158,Ibra,OM,22.6906,58.5334,80.13,69,49,4.65,scattered clouds
159,Le Havre,FR,49.4938,0.1077,65.95,88,100,11.5,overcast clouds
160,Namatanai,PG,-3.6667,152.4333,85.08,68,64,10.85,broken clouds
161,Mecca,SA,21.4267,39.8261,86.18,27,89,3.2,overcast clouds
162,Albany,US,42.6001,-73.9662,75.45,71,100,2.28,overcast clouds
163,Gwanda,ZW,-20.9333,29.0,56.68,34,2,11.95,clear sky
164,Camalu,MX,30.85,-116.0667,74.1,63,3,6.53,clear sky
165,Ambon,ID,-3.6954,128.1814,84.34,79,40,4.61,scattered clouds
166,Pacific Grove,US,36.6177,-121.9166,73.54,82,0,10.36,clear sky
167,Tuatapere,NZ,-46.1333,167.6833,50.13,78,100,9.06,light rain
168,Lotofaga,WS,-13.9764,-171.8578,87.58,80,53,20.92,light rain
169,Warmbad,NA,-28.45,18.7333,47.8,28,0,9.93,clear sky
170,Adrar,MR,20.5022,-10.0711,91.11,37,12,14.34,few clouds
171,Fort-Shevchenko,KZ,44.5086,50.263,80.19,61,6,10.56,clear sky
172,Leh,IN,34.1667,77.5833,59.41,57,68,6.4,broken clouds
173,Srednekolymsk,RU,67.45,153.6833,77.81,33,100,12.73,overcast clouds
174,Talara,PE,-4.5772,-81.2719,62.73,87,44,15.52,scattered clouds
175,Lagoa,PT,39.05,-27.9833,72.39,75,0,8.97,clear sky
176,Lindi,TZ,-10.0,39.7167,65.7,96,4,3.76,clear sky
177,Taitung,TW,22.7583,121.1444,89.87,62,75,6.91,broken clouds
178,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,17.27,few clouds
179,Tutoia,BR,-2.7619,-42.2744,77.56,87,39,10.74,moderate rain
180,Fairbanks,US,64.8378,-147.7164,68.22,75,100,8.05,overcast clouds
181,Salta,AR,-24.7859,-65.4117,57.79,57,0,9.22,clear sky
182,Port Lavaca,US,28.615,-96.6261,87.78,76,66,12.44,broken clouds
183,Ahmadnagar,IN,19.0833,74.7333,75.18,83,100,3.47,overcast clouds
